shape,noise,elements,area,perimeter,aspect_ratio,circularity,compactness,eccentricity,orientation,feret_max,feret_min,feret_mean,malinowska,zwykly11,centralny11,znormalizowany11
circle,scale_12,largest,20882,649,0.9939393939393939,0.6230064771191147,20.170529642754527,1.0012062439367146,1.3977079562747803,164.13713778423212,1.0,103.15395367108286,0.2669332060976981,285289051,7097.427736806647,1.6276341619253883e-05
circle,translate_small,full,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,1.0,85.86027926915827,0.264823602504783,250182240,0.0,0.0
circle,translate_small,largest,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,1.0,85.86027926915827,0.264823602504783,250182240,0.0,0.0
circle,translate_big,full,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,1.0,85.86027926915827,0.264823602504783,342724140,0.0,0.0
circle,translate_big,largest,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,1.0,85.86027926915827,0.264823602504783,342724140,0.0,0.0
rectangle,clean,largest,3680,248,1.7391304347826086,0.7518900211505228,16.713043478260868,3.025531914893617,0.0,90.91754506144565,1.0,45.340240447294136,0.15324834352254357,41820440,0.0,0.0
rectangle,salt_pepper,full,9404,8163,1.0,0.001773466100717687,7085.768715440238,1.3121056594770437,-0.8832408220679019,358.50383540486706,1.0,124.9614329749043,22.74589561027572,139517394,-5600678.702254358,-0.0633308647344103
rectangle,salt_pepper,largest,3319,2078,1.7959183673469388,0.009658863530458901,1301.019584212112,3.069442868159965,0.007303680344819768,93.15041599477696,1.0,34.38436035548852,9.1750601444591,37723026,8876.856282012683,0.0008058323235237841
rectangle,gaussian,full,6478,4282,1.0,0.004439739428216981,2830.429762272306,1.5421228489389496,-0.9023166735216529,355.7091508522096,1.0,122.63631357475344,14.007946024357492,89818174,-4854570.558505706,-0.11568283690812702
rectangle,gaussian,largest,3508,1312,1.7446808510638299,0.025609540054266886,490.690992018244,3.0341780161499905,0.0009020902407604748,90.91754506144565,1.0,34.87034351018075,5.248835767979877,39786527,1136.4455530216826,9.234841887882939e-05
rectangle,blur,full,3676,248,1.7391304347826086,0.7510727493884026,16.731229597388467,3.0253551405482737,0.0,89.94442728707543,1.0,45.30409459376718,0.1538756203399474,41774983,0.0,0.0
rectangle,blur,largest,3676,248,1.7391304347826086,0.7510727493884026,16.731229597388467,3.0253551405482737,0.0,89.94442728707543,1.0,45.30409459376718,0.1538756203399474,41774983,0.0,0.0
rectangle,erode,full,3432,240,1.7727272727272727,0.7487462491055674,16.783216783216783,3.1436692506459947,0.0,88.19297024139736,1.0,43.8560916295454,0.15566688799839934,39002106,0.0,0.0
rectangle,erode,largest,3432,240,1.7727272727272727,0.7487462491055674,16.783216783216783,3.1436692506459947,0.0,88.19297024139736,1.0,43.8560916295454,0.15566688799839934,39002106,0.0,0.0
rectangle,dilate,full,3936,256,1.7083333333333333,0.7547185476397354,16.650406504065042,2.91923577941815,0.0,93.64827814754524,1.0,46.823521331977474,0.15108524871344686,44729688,0.0,0.0
rectangle,dilate,largest,3936,256,1.7083333333333333,0.7547185476397354,16.650406504065042,2.91923577941815,0.0,93.64827814754524,1.0,46.823521331977474,0.15108524871344686,44729688,0.0,0.0
rectangle,rotate_15,full,3680,303,1.3692307692307693,0.5037005507177048,24.948097826086958,3.0245982417010002,0.26170889260967306,91.21951545584969,1.0,45.164864897239845,0.40900906486826893,55302030,328317.44266304356,0.024243667493431265
rectangle,rotate_15,largest,3680,303,1.3692307692307693,0.5037005507177048,24.948097826086958,3.0245982417010002,0.26170889260967306,91.21951545584969,1.0,45.164864897239845,0.40900906486826893,55302030,328317.44266304356,0.024243667493431265
rectangle,rotate_30,full,3681,338,1.15,0.40489487615503755,31.036131486009236,3.0243591380133763,0.5241003874309134,91.4166286842826,1.0,45.078806970289335,0.5715523759086716,71227414,569508.2309155122,0.04203086909913113
rectangle,rotate_30,largest,3681,338,1.15,0.40489487615503755,31.036131486009236,3.0243591380133763,0.5241003874309134,91.4166286842826,1.0,45.078806970289335,0.5715523759086716,71227414,569508.2309155122,0.04203086909913113
rectangle,rotate_45,full,3673,348,1.0,0.3811292712589282,32.971413013885105,3.022727272727273,0,91.21403400793103,1.0,44.94648456455972,0.6198091495426648,87571844,653972.0,0.04847494194061803
rectangle,rotate_45,largest,3673,348,1.0,0.3811292712589282,32.971413013885105,3.022727272727273,0,91.21403400793103,1.0,44.94648456455972,0.6198091495426648,87571844,653972.0,0.04847494194061803
rectangle,scale_08,full,2368,198,1.7297297297297298,0.759033915284219,16.555743243243242,2.9934210526315788,0.0,72.56031973468694,1.0,36.240797447753,0.14780842777059466,30383808,0.0,0.0
rectangle,scale_08,largest,2368,198,1.7297297297297298,0.759033915284219,16.555743243243242,2.9934210526315788,0.0,72.56031973468694,1.0,36.240797447753,0.14780842777059466,30383808,0.0,0.0
rectangle,scale_12,full,5280,298,1.7454545454545454,0.7471559484236794,16.818939393939395,3.04728835978836,0.0,109.27488274987991,1.0,54.439941726873954,0.15689613667529834,51070800,0.0,0.0
rectangle,scale_12,largest,5280,298,1.7454545454545454,0.7471559484236794,16.818939393939395,3.04728835978836,0.0,109.27488274987991,1.0,54.439941726873954,0.15689613667529834,51070800,0.0,0.0
rectangle,translate_small,full,3680,248,1.7391304347826086,0.7518900211505228,16.713043478260868,3.025531914893617,0.0,90.91754506144565,1.0,45.340240447294136,0.15324834352254357,52372840,0.0,0.0
rectangle,translate_small,largest,3680,248,1.7391304347826086,0.7518900211505228,16.713043478260868,3.025531914893617,0.0,90.91754506144565,1.0,45.340240447294136,0.15324834352254357,52372840,0.0,0.0
rectangle,translate_big,full,3680,248,1.7391304347826086,0.7518900211505228,16.713043478260868,3.025531914893617,0.0,90.91754506144565,1.0,45.340240447294136,0.15324834352254357,75032440,0.0,0.0
rectangle,translate_big,largest,3680,248,1.7391304347826086,0.7518900211505228,16.713043478260868,3.025531914893617,0.0,90.91754506144565,1.0,45.340240447294136,0.15324834352254357,75032440,0.0,0.0
