shape,noise,area,perimeter,aspect_ratio,circularity,compactness,eccentricity,orientation,feret,malinowska,zwykly11,centralny11,znormalizowany11
rectangle,salt_pepper,9404,8163,1.0,0.001773466100717687,7085.768715440238,1.3121056594770437,-0.8832408220679019,358.50383540486706,22.74589561027572,139517394,-5600678.702254358,-0.0633308647344103
rectangle,gaussian,6478,4282,1.0,0.004439739428216981,2830.429762272306,1.5421228489389496,-0.9023166735216529,355.7091508522096,14.007946024357492,89818174,-4854570.558505706,-0.11568283690812702
rectangle,blur,3676,248,1.7391304347826086,0.7510727493884026,16.731229597388467,3.0253551405482737,0.0,89.94442728707543,0.1538756203399474,41774983,0.0,0.0
rectangle,erode,3432,240,1.7727272727272727,0.7487462491055674,16.783216783216783,3.1436692506459947,0.0,88.19297024139736,0.15566688799839934,39002106,0.0,0.0
rectangle,dilate,3936,256,1.7083333333333333,0.7547185476397354,16.650406504065042,2.91923577941815,0.0,93.64827814754524,0.15108524871344686,44729688,0.0,0.0
rectangle,rotate_15,3680,303,1.3692307692307693,0.5037005507177048,24.948097826086958,3.0245982417010002,0.26170889260967306,91.21951545584969,0.40900906486826893,55302030,328317.44266304356,0.024243667493431265
rectangle,rotate_30,3681,338,1.15,0.40489487615503755,31.036131486009236,3.0243591380133763,0.5241003874309134,91.4166286842826,0.5715523759086716,71227414,569508.2309155122,0.04203086909913113
rectangle,rotate_45,3673,348,1.0,0.3811292712589282,32.971413013885105,3.022727272727273,0,91.21403400793103,0.6198091495426648,87571844,653972.0,0.04847494194061803
rectangle,scale_08,2368,198,1.7297297297297298,0.759033915284219,16.555743243243242,2.9934210526315788,0.0,72.56031973468694,0.14780842777059466,30383808,0.0,0.0
rectangle,scale_12,5280,298,1.7454545454545454,0.7471559484236794,16.818939393939395,3.04728835978836,0.0,109.27488274987991,0.15689613667529834,51070800,0.0,0.0
rectangle,translate_small,3680,248,1.7391304347826086,0.7518900211505228,16.713043478260868,3.025531914893617,0.0,90.91754506144565,0.15324834352254357,52372840,0.0,0.0
rectangle,translate_big,3680,248,1.7391304347826086,0.7518900211505228,16.713043478260868,3.025531914893617,0.0,90.91754506144565,0.15324834352254357,75032440,0.0,0.0
triangle,clean,5132,464,1.125,0.29954394876305773,41.95167575993764,3.38998139074338,0.6787470904873583,141.8238343861849,0.8271311622571766,63975886,1608929.5580670303,0.06108910112344435
triangle,salt_pepper,10622,8748,1.0,0.001744209358582022,7204.622858218791,1.0807588671016533,1.0793475927488414,358.50383540486706,22.944219981013998,158260295,1265971.4509508554,0.011220476947239414
triangle,gaussian,7837,4747,1.0,0.00437040060225115,2875.3360979966824,1.138672597477054,1.1072730689819466,355.7091508522096,14.126532204155955,110523162,1105850.1389562339,0.01800514334608209
triangle,blur,5127,459,1.128440366972477,0.3058072732701073,41.092451726155645,3.380556460597891,0.6783357862432595,138.23530663329106,0.808323369309643,63878656,1598396.3795591977,0.06080759854595546
triangle,erode,4668,440,1.1333333333333333,0.3029949278296933,41.4738646101114,3.3901016039894407,0.6785145947262569,133.76471881628578,0.8166962544442111,57679013,1329641.3650385614,0.06102008703713011
triangle,dilate,5612,480,1.1228070175438596,0.30608711756850554,41.05488239486814,3.379532605696012,0.6787469951446253,144.53373308677806,0.8074965381985793,70543125,1916212.2811831776,0.060842674248059524
triangle,rotate_15,5129,466,0.8455284552845529,0.2968046698274429,42.338857477091054,3.3830661287386197,0.9394641811813361,141.48498153514387,0.8355433054469588,68957248,1564310.0721388184,0.05946445508336919
triangle,rotate_30,5127,453,0.68,0.3139617762370046,40.02516091281451,3.383705268788518,1.201327464979201,142.35870187663275,0.7846851553317391,74891444,1106279.6309732783,0.042086061092269554
triangle,rotate_45,5137,464,0.5985401459854015,0.2998357881519539,41.91084290441892,3.381405634278612,1.465490322195223,142.04576727238302,0.8262417443189387,81982373,344103.441892155,0.013039768618693619
triangle,scale_08,3284,368,1.1222222222222222,0.3047315180289721,41.23751522533496,3.392365511925975,0.6782016917254902,113.64858116140297,0.8115124052762315,43349967,660261.2417783191,0.061222281153735375
triangle,scale_12,7394,558,1.126865671641791,0.2984151806970996,42.11035975114958,3.3842055454489826,0.67836085708166,170.0,0.8305835012057565,86916159,3335909.433324317,0.06101763335521291
triangle,translate_small,5132,464,1.125,0.29954394876305773,41.95167575993764,3.38998139074338,0.6787470904873583,141.8238343861849,0.8271311622571766,78621356,1608929.5580670303,0.06108910112344435
triangle,translate_big,5132,464,1.125,0.29954394876305773,41.95167575993764,3.38998139074338,0.6787470904873583,141.8238343861849,0.8271311622571766,109331556,1608929.5580670303,0.06108910112344435
ring,clean,7392,676,1.0,0.20327240726283877,61.82034632034632,1.0,0,112.0,1.2179961339614613,87085152,0.0,0.0
ring,salt_pepper,12388,9893,1.0,0.0015905782611911816,7900.504439780433,1.0786753204269812,0.21456448925590793,358.50383540486706,24.073934020318006,175851419,672027.2128672838,0.004379096001870553
ring,gaussian,9860,5454,1.0,0.004165398072729275,3016.8474645030424,1.0679750159420693,0.08802172884730473,355.7091508522096,14.494292280222263,130981368,144833.04918864844,0.001489751543810594
ring,blur,7392,664,1.0,0.2106859930263441,59.64502164502164,1.0,0,111.94641575325224,1.178623421524276,87085152,0.0,0.0
ring,erode,6716,672,1.0,0.1868882534501581,67.24002382370459,1.0,0,109.48972554536796,1.3131777023349707,79121196,0.0,0.0
ring,dilate,8068,672,1.0,0.22451078451993384,55.97223599405057,1.0,0,114.76933388322858,1.110480754989163,95049108,0.0,0.0
ring,rotate_15,7394,713,0.9911504424778761,0.18277224677856382,68.75426021098188,1.0011977747893963,-0.6609303350309389,112.79184367674819,1.3390789182073557,84584539,-4196.638761157702,-7.676136608943141e-05
ring,rotate_30,7400,711,0.9911504424778761,0.18395109707857413,68.31364864864865,1.0038283084302948,-0.3446264450854341,112.80514172678478,1.3315718799851965,84011526,-8804.1081081083,-0.00016077626201804784
ring,rotate_45,7403,724,1.0,0.17747634698670095,70.80588950425503,1.0021256474439815,0.9395752657389114,112.60550608207397,1.373721478461694,85234414,7329.052951506164,0.00013373108268544898
ring,scale_08,4750,538,1.0,0.20622386512833593,60.93557894736842,1.00098045936638,0.7853981633977671,90.24965373894794,1.202067051617652,60225974,1460.315789473711,6.472313748359939e-05
ring,scale_12,10660,808,1.0,0.20518440402452698,61.244277673545966,1.0004990887229852,-0.7853981633957087,135.55810562264435,1.207637824444653,116230808,-3747.5768292681864,-3.297889771575269e-05
ring,translate_small,7392,676,1.0,0.20327240726283877,61.82034632034632,1.0,0,112.0,1.2179961339614613,108706752,0.0,0.0
ring,translate_big,7392,676,1.0,0.20327240726283877,61.82034632034632,1.0,0,112.0,1.2179961339614613,153095712,0.0,0.0
